"0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211"
"0209
0100
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0500
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0100
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0209
0100
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0209
0100
0211"
"0209
0100
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
7777
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0400
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0209
0100
0211","0209
0100
0211","0209
0100
0211","0212
0000
0200","0209
0100
0211","0209
0100
0211","0209
0100
0211","0212
0000
0200","0209
0100
0211","0209
0000
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0209
0100
0211"
"0209
0100
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0500
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0100
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0209
0100
0211","0212
0000
0200","0209
0100
0211","0212
0000
0200","0209
0100
0211","0212
0000
0200","0209
0100
0211","0212
0000
0200","0209
0100
0211","0209
0000
0211","0209
0100
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0209
0100
0211"
"0209
0100
0211","0209
0400
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0500
0211","0209
0400
0211","0209
0500
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0209
0100
0211","0209
0000
0211","0209
0100
0211","0212
0000
0200","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0209
0100
0211"
"0209
0100
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0209
0100
0211","0209
0000
0211","0209
0100
0211","0212
0000
0200","0209
0100
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0209
0100
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0209
0100
0211"
"0209
0100
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0209
0100
0211","0212
0000
0200","0209
0100
0211","0212
0000
0200","0209
0100
0211","0212
0000
0200","0209
0100
0211","0212
0000
0200","0209
0100
0211","0209
0000
0211","0209
0100
0211","0212
0000
0200","0209
0100
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0209
0100
0211"
"0209
0100
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0204
0200","0212
0205
0200","0209
0100
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0209
0100
0211","0209
0100
0211","0209
0100
0211","0212
0000
0200","0209
0100
0211","0209
0100
0211","0209
0100
0211","0212
0000
0200","0209
0100
0211","0209
0000
0211","0209
0100
0211","0212
0000
0200","0209
0100
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0209
0100
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0209
0100
0211"
"0209
0100
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0204
0200","0212
0205
0200","0212
0204
0200","0209
0100
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0209
0100
0211","0209
0000
0211","0209
0100
0211","0212
0000
0200","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0209
0100
0211"
"0209
0100
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0204
0200","0212
0205
0200","0212
0202
0200","0212
0202
0200","0209
0100
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0209
0100
0211","0209
0000
0211","0209
0100
0211","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0212
0000
0200","0209
0100
0211"
